"カテゴリ","タイトル","URL","投稿時間"
"Web3","カイカコイン保有者へのMV/RONDエアドロップ付与対象者確定！2023年５月中旬にエアドロップ実施！！","https://prtimes.jp/main/html/rd/p/000000129.000097511.html","2023-05-01T15:05:40+0900"
"NFT","環境貢献型NFT「capture.x」カーボンニュートラルへ向けた行動変容が1万回を突破","https://prtimes.jp/main/html/rd/p/000000072.000044789.html","2023-05-02T08:30:00+0900"
"AI","【業界初！AI技術で動画制作】ChatGPT4.0を活用！ジェネレーティブAI、アバター生成AI、読み上げ技術を駆使し、革新的・魅力的なコンテンツ制作を開始","https://prtimes.jp/main/html/rd/p/000001262.000039923.html","2023-05-02T06:55:22+0900"
"メタバース","","","2023-05-01T15:05:40+0900"
"ブロックチェーン","","","2023-05-01T15:05:40+0900"
"仮想通貨","","","2023-05-01T15:05:40+0900"
"DAO","","","2023-05-01T15:05:40+0900"
